% Model,20-02-16_SHELL_CFD.mph
% Version,COMSOL 5.5.0.352
% Date,"Feb 16 2020, 13:35"
% Table,Table 2 {tbl2} - Surface Integration 2 (-spf.T_stressz)
% u0 (m/s),Drag force (N),Lift force (N),Lateral force (N)
1,-0.034958979853408546,-0.07305333659787862,5.354487271511579E-4
2,-0.13402228085598183,-0.3081313167761943,0.0018276433529999317
3,-0.2931430595319631,-0.7189529721487711,0.0035634799255089694
4,-0.5110635357476455,-1.3081964697407213,0.005979666089663438
5,-0.7870505217249858,-2.079070330527624,0.008584897490889254
6,-1.1206282590284993,-3.034311775606496,0.011391572638926595
7,-1.5111091811522888,-4.176940615195814,0.014714666227504725
8,-1.9581422238529655,-5.508345655007532,0.018390656974049513
9,-2.4615507121916993,-7.028582455570323,0.02236850593504347
10,-3.021029685201793,-8.73945412074706,0.026669379531871096
11,-3.636251695237857,-10.642765977541444,0.03131679205927762
12,-4.307090691249856,-12.738696492617326,0.03600315042667179
13,-5.033259586089215,-15.028981709478142,0.04103073059419371
14,-5.814862482031198,-17.510827976625396,0.04646826557926431
15,-6.651621536838526,-20.18778643710833,0.05236129311467774
16,-7.543268103535128,-23.05948592822256,0.058628811284475724
17,-8.489984229802907,-26.124962658315056,0.06519997787352727
18,-9.49183382970434,-29.384731207268203,0.07214327875771964
19,-10.548467020224573,-32.83950197380562,0.07925737405437383
20,-11.65975248729451,-36.48966128478636,0.08686690408834963
21,-12.825711975298843,-40.33422054294216,0.09472877669220736
22,-14.046192531298887,-44.374136954684026,0.10309537492294929
23,-15.3211711825594,-48.609970051375036,0.11181412262226242
24,-16.6506839914758,-53.0400975302107,0.12097871184387365
25,-18.03441662079361,-57.66820812040727,0.13082377039610105
26,-19.472717504936806,-62.492241515106784,0.14066023912138093
27,-20.965307395895536,-67.51322518146956,0.15082028517784707
28,-22.512055567300273,-72.73112534919807,0.16143100584730874
29,-24.112944654715037,-78.14645050007309,0.1723190641749195
30,-25.767984141126,-83.7587613488766,0.18347926659735947
31,-27.4771603300588,-89.56859526149563,0.1951060787488217
32,-29.24037620672572,-95.57524271047728,0.2072064813175114
33,-31.057621139105883,-101.7804437934133,0.2196954727395024
34,-32.92895324130359,-108.18340426163047,0.23246914840531296
35,-34.85394472185903,-114.78610211316492,0.24539626836228656
36,-36.832965721164356,-121.58661795600145,0.2587681915264177
37,-38.86573445010315,-128.58615777051978,0.27268526893138123
38,-40.95218161069361,-135.78636728789067,0.2868758381816452
39,-43.09242135520721,-143.18345639653535,0.3015280427483269
40,-45.28655916865161,-150.7789372945233,0.31655255648862735
41,-47.53440260943856,-158.57306528378717,0.3318135843443848
42,-49.83600387891369,-166.5655728358858,0.347293166528889
43,-52.19123513857809,-174.75826835368517,0.3632685026772968
44,-54.600132380049885,-183.14964523789357,0.379800511628158
45,-57.06293669870162,-191.7413162354468,0.3967982617059427
46,-59.57944017405285,-200.53187891468812,0.41404105019203286
47,-62.14944946548029,-209.52330361479744,0.4316582809704741
48,-64.77294057189417,-218.71180712969084,0.4495286602344315
49,-67.4497527114873,-228.10181919118497,0.4675478469274168
50,-70.1799929251476,-237.69198971314842,0.4857018040258865
51,-72.9636576035856,-247.48142208522964,0.5043365462928975
52,-75.80090205406682,-257.47096582640904,0.5234448458455887
53,-78.69163751591282,-267.661614420584,0.5430953419709574
54,-81.63583683713163,-278.0527867249672,0.5630795307420335
55,-84.63352779524176,-288.6448103801411,0.5834884131725673
56,-87.68513867817946,-299.4316794739931,0.604259758735644
57,-90.7895935963934,-310.4242698740808,0.6251924681161469
58,-93.9474934448351,-321.61718648663134,0.6466581117104582
59,-97.15889954849239,-333.0100395618269,0.6684577236502776
60,-100.4238030136563,-344.6057343000527,0.6904986581182229
61,-103.74191792961011,-356.400056530335,0.7128383369607505
62,-107.11348680536413,-368.3943724268546,0.735631074790696
63,-110.53844610808189,-380.5894171811461,0.7587665525548388
64,-114.01677485166572,-392.9853405027763,0.7820521028513028
65,-117.54839152972905,-405.58308148200643,0.8052977559532337
66,-121.13330552918526,-418.38171980742806,0.8289121959727197
67,-124.77153561294048,-431.38200740261175,0.8529873836409294
68,-128.46300911362607,-444.5832252798956,0.8774988448630623
69,-132.20785129632753,-457.9846220104265,0.902492915965162
70,-136.00603604976766,-471.58597669138703,0.9279245985015052
