freq (Hz),v (m/s),Thrust force (N)
1,0,222.6700533
1,1,-664.7082202
1,2,-848.6458235
1,3,-699.9435246
1,4,-559.6260536
1,5,-461.1661082
1,6,-391.0969615
1,7,-339.1786971
1,8,-299.2990315
1,9,-267.7572917
1,10,-242.2127878
1,11,-221.1200644
1,12,-203.4198629
1,13,-188.3627065
1,14,-175.4037514
1,15,-164.1376117
1,16,-154.2565417
1,17,-145.5227852
1,18,-137.7497995
1,19,-130.7892057
1,20,-124.5215292
1,21,-118.8495062
1,22,-113.6931651
1,23,-108.9861579
1,24,-104.672985
1,25,-100.7068716
1,26,-97.04812323
1,27,-93.66283875
1,28,-90.52189413
1,29,-87.60013237
1,30,-84.87571273
1,31,-82.32958361
1,32,-79.94505285
1,33,-77.70743484
1,34,-75.60375904
1,35,-73.62252783
1,36,-71.75351402
1,37,-69.98759098
1,38,-68.31658909
1,39,-66.73317413
1,40,-65.23074364
1,41,-63.80333834
1,42,-62.44556603
1,43,-61.15253606
1,44,-59.9198026
1,45,-58.74331543
1,46,-57.61937714
1,47,-56.54460568
1,48,-55.5159016
1,49,-54.53041931
1,50,-53.58554166
1,51,-52.67885763
1,52,-51.8081425
1,53,-50.97134022
1,54,-50.16654787
1,55,-49.39200165
1,56,-48.64606447
1,57,-47.92721481
1,58,-47.23403672
1,59,-46.56521088
1,60,-45.91950648
1,61,-45.29577397
1,62,-44.69293846
1,63,-44.10999378
1,64,-43.54599709
1,65,-43.00006399
6,0,731.5469786
6,1,234.8410584
6,2,-598.3049016
6,3,-772.7617128
6,4,-649.4490973
6,5,-530.4872189
6,6,-443.9900792
6,7,-385.7172304
6,8,-342.9353387
6,9,-308.5952854
6,10,-279.7798866
6,11,-255.148133
6,12,-233.9101507
6,13,-215.4987666
6,14,-199.4648469
6,15,-185.4392898
6,16,-173.1151513
6,17,-162.2363935
6,18,-152.5893044
6,19,-143.9954168
6,20,-136.3055437
6,21,-129.3947598
6,22,-123.1582086
6,23,-117.5076244
6,24,-112.3684623
6,25,-107.6775403
6,26,-103.3811048
6,27,-99.433246
6,28,-95.79459876
6,29,-92.43127618
6,30,-89.31399302
6,31,-86.41734312
6,32,-83.7192023
6,33,-81.20023334
6,34,-78.84347446
6,35,-76.63399586
6,36,-74.55861222
6,37,-72.60564123
6,38,-70.76469993
6,39,-69.02653254
6,40,-67.3828642
6,41,-65.82627654
6,42,-64.35010125
