% Model:              40x20x10 magnets 45 degree N52 210mm.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 4 2020, 19:16
% Table:              Probe Table 1 - 
% v                                               Electromagnetic force, x component (N)            Electromagnetic force, y component (N)
0                                                 5.132888402376864                                 -1810.7299228223671
0.5                                               374.73104716962723                                -1782.2545677844994
1                                                 731.3186601285195                                 -1698.8363439061
1.5                                               1063.3964605963006                                -1566.1950784942248
2                                                 1362.1148527574796                                -1392.8018394953917
2.5                                               1621.8543669914634                                -1188.619280156799
3                                                 1840.216873318864                                 -963.8475880267284
3.5                                               2017.5665020245808                                -727.9218892495991
4                                                 2156.3302845766466                                -488.8752009214747
4.5                                               2260.253997049293                                 -253.05996095790974
5                                                 2333.7464641141373                                -25.147953030776627
5.5                                               2381.375606375706                                 191.69425670042128
6                                                 2407.5257042042263                                395.5460223722079
6.5                                               2416.1943424572096                                585.4553841889207
7                                                 2410.8955339787244                                761.1832656005954
7.5                                               2394.635522294093                                 922.9876085613513
8                                                 2369.933456239249                                 1071.4522296436085
8.5                                               2338.8663755850653                                1207.3575125913972
9                                                 2303.124595864214                                 1331.5866184004
9.5                                               2264.068821644952                                 1445.0600212251945
10                                                2222.7840695427244                                1548.6916454877078
10.5                                              2180.1279780482414                                1643.3609107926125
11                                                2136.7726346517493                                1729.8961496215697
11.5                                              2093.2399498935392                                1809.0659334061515
12                                                2049.931079350797                                 1881.5757413476974
12.5                                              2007.1506010000494                                1948.068118476107
13                                                1965.1262069503514                                2009.1250122698964
13.5                                              1924.024636105949                                 2065.271379560686
14                                                1883.9645015508374                                2116.979447418908
14.5                                              1845.0265790086391                                2164.673219873076
15                                                1807.2620348291537                                2208.732968425883
15.5                                              1770.6989907817338                                2249.4995453698157
16                                                1735.347751551649                                 2287.2784276880016
16.5                                              1701.204959971846                                 2322.3434453117798
17                                                1668.2568941944644                                2354.9401775640335
17.5                                              1636.4820791654586                                2385.2890206678835
18                                                1605.8533506710103                                2413.587940736796
18.5                                              1576.3394826421434                                2440.0149331372086
19                                                1547.9064662040767                                2464.730212239594
19.5                                              1520.518511153039                                 2487.878156530165
20                                                1494.1388262996147                                2509.5890336523817
20.5                                              1468.730223740161                                 2529.980528733892
21                                                1444.2555830375895                                2549.1590976965335
21.5                                              1420.6782040493194                                2567.2211653862028
22                                                1397.9620713616166                                2584.254186449795
22.5                                              1376.0720486786172                                2600.3375850240077
23                                                1354.9740178333607                                2615.5435875422845
23.5                                              1334.6349741476422                                2629.9379613404494
24                                                1315.023087517076                                 2643.580670262382
24.5                                              1296.107736717235                                 2656.526457135285
25                                                1277.8595229214213                                2668.8253617952205
25.5                                              1260.2502672144076                                2680.523182288478
26                                                1243.2529959194494                                2691.661885942556
26.5                                              1226.8419167801112                                2702.2799761798756
27                                                1210.9923884157315                                2712.4128202273164
27.5                                              1195.680884969385                                 2722.0929422429062
28                                                1180.8849574656442                                2731.3502858284737
28.5                                              1166.5831930729641                                2740.2124494136297
29                                                1152.7551732066265                                2748.7048975736907
29.5                                              1139.381431200282                                 2756.8511509748605
30                                                1126.4434101076229                                2764.672957317036
30.5                                              1113.9234210621298                                2772.190445362196
31                                                1101.8046025162098                                2779.4222638895403
31.5                                              1090.0708805958109                                2786.3857072022292
32                                                1078.706930738909                                 2793.0968286214734
32.5                                              1067.6981407324297                                2799.570543237682
33                                                1057.0305752198724                                2805.8207210430733
33.5                                              1046.6909417185104                                2811.8602714422564
34                                                1036.6665581591876                                2817.701220025173
34.5                                              1026.94532194164                                  2823.35477838808
35                                                1017.5156804830708                                2828.831407701239
35.5                                              1008.3666032262079                                2834.140876645578
36                                                999.4875550646873                                 2839.292314272799
36.5                                              990.8684711376582                                 2844.294258283934
37                                                982.4997329414529                                 2849.1546991684445
37.5                                              974.3721457036675                                 2853.8811205992934
38                                                966.4769169637111                                 2858.4805364381155
38.5                                              958.8056363035271                                 2862.959524667816
39                                                951.3502561725205                                 2867.3242585373623
39.5                                              944.1030737516812                                 2871.580535174624
40                                                937.0567138032013                                 2875.7338018972155
40.5                                              930.2041124535136                                 2879.789180428513
41                                                923.5385018595432                                 2883.7514892052964
41.5                                              917.0533957099206                                 2887.625263945452
42                                                910.742575515001                                  2891.414776627573
42.5                                              904.6000776416699                                 2895.124053019913
43                                                898.620181050983                                  2898.7568888828855
43.5                                              892.7973956988545                                 2902.316864957651
44                                                887.126451562056                                  2905.807360842797
44.5                                              881.6022882537964                                 2909.231567851658
45                                                876.2200451951122                                 2912.592500934302
45.5                                              870.9750523101799                                 2915.8930097405632
46                                                865.8628212154827                                 2919.13578889367
46.5                                              860.8790368744299                                 2922.323387537712
47                                                856.0195496907442                                 2925.4582182165955
47.5                                              851.2803680154406                                 2928.5425651371606
48                                                846.6576510437144                                 2931.578591864464
48.5                                              842.1477020794549                                 2934.5683484930673
49                                                837.7469621464336                                 2937.513778334527
49.5                                              833.4520039264676                                 2940.4167241577798
50                                                829.2595260059918                                 2943.2789340160466
